Date and Time,Gage Height (ft),POSIX Stamp
10/19/2013 15:44:41,1.79,1382211881.0
10/21/2013 16:13:34,1.75,1382386414.0
10/21/2013 17:15:40,1.78,1382390140.0
10/22/2013 11:25:42,1.86,1382455542.0
10/27/2013 10:45:35,1.86,1382885135.0
10/27/2013 12:10:37,1.88,1382890237.0
10/27/2013 16:15:14,1.85,1382904914.0
10/28/2013 09:44:12,1.86,1382967852.0
10/29/2013 15:38:42,1.85,1383075522.0
11/01/2013 12:23:12,2.0,1383322992.0
11/04/2013 11:30:59,2.02,1383582659.0
11/16/2013 14:08:55,2.1,1384628935.0
11/16/2013 14:33:23,2.08,1384630403.0
11/16/2013 16:33:40,2.1,1384637620.0
11/20/2013 11:39:21,2.12,1384965561.0
11/27/2013 10:58:20,2.16,1385567900.0
11/29/2013 10:27:57,2.3,1385738877.0
12/13/2013 15:15:21,2.2,1386965721.0
12/29/2013 16:08:10,2.48,1388351290.0
01/11/2014 15:33:49,2.4,1389472429.0
